Fish ID,Sample type,Lake,Sampling year,Sampling month,Sampling date,Temperature ©,Conductivity,Vol. pre-filtered water (L),Incub. Start time (24h),Incub. End time (24h),Time elapsed (min),Total length (mm),Fork length (mm),Mass (g),Tag analysis date,TDN analysis date,TDP analysis date,DOC analysis date,Tag (µg/L),TDN (µg/L),N excretion (µg),N excretion rate (µg/ind/h),TDP (µg/L),P excretion (µg),P excretion rate (µg/ind/h),DOC (µg/L)
L2395,F5,239,2015,8,12,16.0,28.4,0.75,848,918,30,44,35,0.679,NA,2015-08-11,2015-08-11,2015-08-11,NA,323.7233254,1.09582543,2.19165086,17.29,10.33,20.67,10.8925197
L2396,F6,239,2015,8,12,16.0,28.4,0.75,848,918,30,45,36,0.569,NA,2015-08-11,2015-08-11,2015-08-11,NA,269.2627445,-53.36475548,NA,15.11,8.69,17.39,10.91535556
L2397,F7,239,2015,8,12,16.0,28.4,0.75,849,919,30,46,38,0.777,NA,2015-08-11,2015-08-11,2015-08-11,NA,234.067131,-88.560369,NA,10.73,5.41,10.83,11.09058579
L2398,F8,239,2015,8,12,16.0,28.4,0.75,850,920,30,45,36,0.761,NA,2015-08-11,2015-08-11,2015-08-11,NA,260.7417012,-61.88579876,NA,10.86,5.51,11.01,11.18495846
L2399,F9,239,2015,8,12,16.0,28.4,0.75,851,921,30,44,36,0.715,NA,2015-08-11,2015-08-11,2015-08-11,NA,267.0398637,-55.58763634,NA,17.48,10.48,20.95,10.97663954
L23910,F10,239,2015,8,12,16.0,28.4,0.75,851,921,30,43,35,0.711,NA,2015-08-11,2015-08-11,2015-08-11,NA,247.4044161,-75.22308388,NA,11.73,6.16,12.33,11.02114615
L23911,F11,239,2015,8,12,16.0,28.4,0.75,852,922,30,44,36,0.795,NA,2015-08-11,2015-08-11,2015-08-11,NA,238.5128927,-84.11460729,NA,15.98,9.35,18.70,11.38162644
L23912,F12,239,2015,8,12,16.0,28.4,0.75,853,923,30,46,37,0.704,NA,2015-08-11,2015-08-11,2015-08-11,NA,237.4014523,-85.22604772,NA,12.45,6.70,13.40,11.06099239
L23913,F13,239,2015,8,12,16.0,28.4,0.75,853,923,30,43,36,0.722,NA,2015-08-11,2015-08-11,2015-08-11,NA,163.3054238,-159.3220762,NA,12.70,6.89,13.79,11.14068486
L23914,F14,239,2015,8,12,16.0,28.4,0.75,941,1011,30,41,35,0.589,NA,2015-08-11,2015-08-11,2015-08-11,NA,225.5460877,-97.08141227,NA,10.93,5.56,11.13,10.66952059
L23915,F15,239,2015,8,12,16.0,28.4,0.75,942,1012,30,41,34,0.611,NA,2015-08-11,2015-08-11,2015-08-11,NA,230.3623296,-92.26517042,NA,5.93,1.81,3.63,11.25160187
L23916,F16,239,2015,8,12,16.0,28.4,0.75,943,1013,30,47,40,0.810,NA,2015-08-11,2015-08-11,2015-08-11,NA,354.2553191,31.62781915,63.2556383,13.41,7.42,14.84,11.0032037
L23917,F17,239,2015,8,12,16.0,28.4,0.75,943,1013,30,39,33,0.497,NA,2015-08-11,2015-08-11,2015-08-11,NA,402.2082527,79.58075274,159.1615055,4.16,0.48,0.97,11.27793301
L23918,F18,239,2015,8,12,16.0,28.4,0.75,944,1014,30,41,35,0.538,NA,2015-08-11,2015-08-11,2015-08-11,NA,471.1154094,148.4879094,296.9758188,15.36,8.89,17.77,11.21478488
L23919,F19,239,2015,8,12,16.0,28.4,0.75,944,1014,30,45,39,0.764,NA,2015-08-11,2015-08-11,2015-08-11,NA,602.8852353,280.2577353,560.5154707,11.57,6.04,12.08,11.29517641
L23920,F20,239,2015,8,12,16.0,28.4,0.75,945,1015,30,41,35,0.638,NA,2015-08-11,2015-08-11,2015-08-11,NA,384.4777563,61.85025629,NA,12.04,6.40,12.79,10.94681311
L239C1,C1,239,2015,8,12,16.0,28.4,0.75,830,900,30,NA,NA,NA,NA,2015-08-11,2015-08-11,2015-08-11,NA,813.6363636,491.0088636,NA,4.98,1.10,NA,11.66637557
L239C2,C2,239,2015,8,12,16.0,28.4,0.75,830,900,30,NA,NA,NA,NA,2015-08-11,2015-08-11,2015-08-11,NA,479.5776918,156.9501918,NA,3.05,-0.35,NA,11.18612355
L239C3,C3,239,2015,8,12,16.0,28.4,0.75,830,900,30,NA,NA,NA,NA,2015-08-11,2015-08-11,2015-08-11,NA,525.9187621,203.2912621,NA,3.68,0.13,NA,11.2075613
L239C4,C4,239,2015,8,12,16.0,28.4,0.75,830,900,30,NA,NA,NA,NA,2015-08-11,2015-08-11,2015-08-11,NA,398.5815603,75.95406028,NA,4.18,0.50,NA,10.50524224
L239C5,C5,239,2015,8,12,16.0,28.4,0.75,831,901,30,NA,NA,NA,NA,2015-08-11,2015-08-11,2015-08-11,NA,704.0296583,381.4021583,NA,1.68,-1.37,NA,10.52877716
